"Can not add product %1 to cart right now. Please try again in a while.","Το προϊόν %1 δεν προστέθηκε στο καλάθι σας αυτή τη στιγμή. Παρακαλούμε δοκιμάστε σε λίγο."
"Sold by <strong>%1</strong>","Διατίθεται από <strong>%1</strong>"
"Delivery <strong>%1 days</strong>","Παράδοση σε <strong>%1 ημέρες</strong>"
"Requested quantity for product %1 does not exist","Η ζητούμενη ποσότητα για το προϊόν %1 δε βρέθηκε."
"Requested quantity for products %1 does not exist","Η ζητούμενη ποσότητα για τα προϊόντα%1 δε βρέθηκε."
"Delivery in %1 days","Αποστολή σε %1 ημέρες"
"Seller name: %seller_name","Όνομα πωλητή: %seller_name"
"Order Id","Κωδ. Παραγγελίας"
"Status","Κατάσταση"
"Customer Email","Email Πελάτη"
"Creation Date","Ημ. Δημιουργίας"
"Pending Approval","Προς Έγκριση"
"Your pending approval orders.","Οι παραγγελίας σας προς έγκριση."
"You have some orders that need an action.","Έχετε μερικές παραγγελίας που χρειάζεται κάποια ενέργεια."
"Hello %seller_name","Γειά σας %seller_name",
"Product %1 is no longer sold by any seller.","Το προϊόν %1 δεν πωλείται πλέον απο κανέναν πωλητή."
"There is no related seller for product %1.","Δεν υπάρχει σχετικός πωλητής για το προϊόν %1."
"The product %1 is now sold by a different seller.","Το προϊόν %1 πωλείται τώρα από διαφορετικό πωλητή."
"The requested quantity for the product %1 is not available from the seller.","Η ζητούμενη ποσότητα για το προϊόν %1 δεν είναι διαθέσιμη από τον πωλητή."
"Proceed to the <a href=""%1"" data-role=""error-cart-link"">cart page</a> to continue.","Προχωρήστε στην <a href=""%1"" data-role=""error-cart-link"">σελίδα καλαθιού</a> για να συνεχίσετε."
"Product data %1 has changed! Visit your cart to see the prices and the available seller!","Tα δεδομένα του προιόντος %1 άλλαξαν! Πήγαινε στο καλάθι σου για να δεις εκ νέου τις τιμές και το διαθέσιμο κατάστημα και για να επεξεργαστείς την ποσότητα αγοράς!"
